Timestamp(ms),Current(uA),D0-D7
5.81,8213.727,00000000
5.82,8123.449,00000000
5.83,8033.228,00000000
5.84,8304.062,00000000
5.85,8033.228,00000000
5.86,8168.581,00000000
5.87,8168.581,00000000
5.88,8078.331,00000000
5.89,8123.449,00000000
5.9,7943.063,00000000
5.91,8033.228,00000000
5.92,8123.449,00000000
5.93,8078.331,00000000
5.94,8258.887,00000000
5.95,7943.063,00000000
5.96,8168.581,00000000
5.97,7988.138,00000000
5.98,8033.228,00000000
5.99,8213.727,00000000
6,8168.581,00000000
6.01,8033.228,00000000
6.02,7943.063,00000000
6.03,8123.449,00000000
6.04,8213.727,00000000
6.05,8213.727,00000000
6.06,8258.887,00000000
6.07,8258.887,00000000
6.08,8304.062,00000000
6.09,8123.449,00000000
6.1,8078.331,00000000
6.11,8258.887,00000000
6.12,8258.887,00000000
6.13,7988.138,00000000
6.14,8123.449,00000000
6.15,8213.727,00000000
6.16,7988.138,00000000
6.17,8033.228,00000000
6.18,8213.727,00000000
6.19,8258.887,00000000
6.2,8213.727,00000000
6.21,8078.331,00000000
6.22,8168.581,00000000
6.23,8168.581,00000000
6.24,8213.727,00000000
6.25,8078.331,00000000
6.26,8123.449,00000000
6.27,8258.887,00000000
6.28,8033.228,00000000
6.29,8213.727,00000000
6.3,8168.581,00000000
6.31,8033.228,00000000
6.32,8213.727,00000000
6.33,7988.138,00000000
6.34,8123.449,00000000
6.35,7988.138,00000000
6.36,8258.887,00000000
6.37,8123.449,00000000
6.38,8123.449,00000000
6.39,8078.331,00000000
6.4,8439.672,00000000
6.41,8847.272,00000000
6.42,7762.907,00000000
6.43,7672.914,00000000
6.44,7627.939,00000000
6.45,7852.957,00000000
6.46,8123.449,00000000
6.47,8123.449,00000000
6.48,8123.449,00000000
6.49,8033.228,00000000
6.5,8168.581,00000000
6.51,8213.727,00000000
6.52,8168.581,00000000
6.53,8258.887,00000000
6.54,8123.449,00000000
6.55,8168.581,00000000
6.56,8168.581,00000000
6.57,7988.138,00000000
6.58,8213.727,00000000
6.59,8078.331,00000000
6.6,7943.063,00000000
6.61,8123.449,00000000
6.62,8213.727,00000000
6.63,8078.331,00000000
6.64,8123.449,00000000
6.65,8258.887,00000000
6.66,8213.727,00000000
6.67,8123.449,00000000
6.68,7988.138,00000000
6.69,8123.449,00000000
6.7,8168.581,00000000
6.71,8213.727,00000000
6.72,8304.062,00000000
6.73,8078.331,00000000
6.74,8123.449,00000000
6.75,8078.331,00000000
6.76,8123.449,00000000
6.77,8168.581,00000000
6.78,8168.581,00000000
6.79,8213.727,00000000
6.8,8123.449,00000000
6.81,7988.138,00000000
6.82,8213.727,00000000
6.83,8304.062,00000000
6.84,8168.581,00000000
6.85,8394.454,00000000
6.86,8168.581,00000000
6.87,7988.138,00000000
6.88,8258.887,00000000
6.89,8123.449,00000000
6.9,8168.581,00000000
6.91,8258.887,00000000
6.92,8168.581,00000000
6.93,8168.581,00000000
6.94,8078.331,00000000
6.95,8033.228,00000000
6.96,8213.727,00000000
6.97,8033.228,00000000
6.98,7988.138,00000000
6.99,8123.449,00000000
7,7898.003,00000000
7.01,8033.228,00000000
7.02,8078.331,00000000
7.03,8213.727,00000000
7.04,8123.449,00000000
7.05,8078.331,00000000
7.06,8033.228,00000000
7.07,7943.063,00000000
7.08,8033.228,00000000
7.09,7943.063,00000000
7.1,8168.581,00000000
7.11,8168.581,00000000
7.12,8213.727,00000000
7.13,8033.228,00000000
7.14,8168.581,00000000
7.15,8213.727,00000000
7.16,8213.727,00000000
7.17,8033.228,00000000
7.18,8078.331,00000000
7.19,8033.228,00000000
7.2,8213.727,00000000
7.21,8168.581,00000000
7.22,8123.449,00000000
7.23,8078.331,00000000
7.24,8213.727,00000000
7.25,7852.957,00000000
7.26,8123.449,00000000
7.27,7988.138,00000000
7.28,8078.331,00000000
7.29,8123.449,00000000
7.3,8033.228,00000000
7.31,8168.581,00000000
7.32,8123.449,00000000
7.33,8213.727,00000000
7.34,8213.727,00000000
7.35,8349.251,00000000
7.36,8168.581,00000000
7.37,7988.138,00000000
7.38,8123.449,00000000
7.39,8033.228,00000000
7.4,8665.974,00000000
7.41,8665.974,00000000
7.42,7852.957,00000000
7.43,7717.903,00000000
7.44,8033.228,00000000
7.45,8033.228,00000000
7.46,7898.003,00000000
7.47,8213.727,00000000
7.48,7988.138,00000000
7.49,8213.727,00000000
7.5,8304.062,00000000
7.51,8168.581,00000000
7.52,8394.454,00000000
7.53,8033.228,00000000
7.54,8213.727,00000000
7.55,8078.331,00000000
7.56,8078.331,00000000
7.57,8168.581,00000000
7.58,7988.138,00000000
7.59,8123.449,00000000
7.6,8168.581,00000000
7.61,8123.449,00000000
7.62,8168.581,00000000
7.63,8304.062,00000000
7.64,8033.228,00000000
7.65,7943.063,00000000
7.66,8033.228,00000000
7.67,8123.449,00000000
7.68,8123.449,00000000
7.69,8078.331,00000000
7.7,8078.331,00000000
7.71,8213.727,00000000
7.72,8123.449,00000000
7.73,8123.449,00000000
7.74,8123.449,00000000
7.75,8168.581,00000000
7.76,8123.449,00000000
7.77,8123.449,00000000
7.78,8168.581,00000000
7.79,8078.331,00000000
7.8,8078.331,00000000
7.81,8213.727,00000000
7.82,8078.331,00000000
7.83,7988.138,00000000
7.84,8033.228,00000000
7.85,8213.727,00000000
7.86,7988.138,00000000
7.87,8213.727,00000000
7.88,8033.228,00000000
7.89,8168.581,00000000
7.9,8213.727,00000000
7.91,8078.331,00000000
7.92,8213.727,00000000
7.93,8078.331,00000000
7.94,8123.449,00000000
7.95,8033.228,00000000
7.96,8033.228,00000000
7.97,8123.449,00000000
7.98,7898.003,00000000
7.99,8213.727,00000000
8,8033.228,00000000
8.01,8078.331,00000000
8.02,8168.581,00000000
8.03,7943.063,00000000
8.04,7898.003,00000000
8.05,8213.727,00000000
8.06,8168.581,00000000
8.07,8078.331,00000000
8.08,8304.062,00000000
8.09,7988.138,00000000
8.1,7988.138,00000000
8.11,8033.228,00000000
8.12,8213.727,00000000
8.13,8078.331,00000000
8.14,8033.228,00000000
8.15,8213.727,00000000
8.16,8258.887,00000000
8.17,8123.449,00000000
8.18,8078.331,00000000
8.19,8258.887,00000000
8.2,8078.331,00000000
8.21,8168.581,00000000
8.22,8033.228,00000000
8.23,8123.449,00000000
8.24,8168.581,00000000
8.25,8168.581,00000000
8.26,8033.228,00000000
8.27,8213.727,00000000
8.28,8213.727,00000000
8.29,7988.138,00000000
8.3,7988.138,00000000
8.31,8213.727,00000000
8.32,8168.581,00000000
8.33,8258.887,00000000
8.34,8078.331,00000000
8.35,8123.449,00000000
8.36,7943.063,00000000
8.37,8213.727,00000000
8.38,7988.138,00000000
8.39,8258.887,00000000
8.4,8756.595,00000000
8.41,8801.927,00000000
8.42,7898.003,00000000
8.43,7358.390,00000000
8.44,7762.907,00000000
8.45,7943.063,00000000
8.46,7852.957,00000000
8.47,8033.228,00000000
8.48,7988.138,00000000
8.49,7943.063,00000000
8.5,7898.003,00000000
8.51,8123.449,00000000
8.52,8123.449,00000000
8.53,8123.449,00000000
8.54,8123.449,00000000
8.55,8078.331,00000000
8.56,8078.331,00000000
8.57,7943.063,00000000
8.58,8123.449,00000000
8.59,8168.581,00000000
8.6,8123.449,00000000
8.61,8168.581,00000000
8.62,7943.063,00000000
8.63,8258.887,00000000
8.64,8168.581,00000000
8.65,8078.331,00000000
8.66,8168.581,00000000
8.67,8078.331,00000000
8.68,8033.228,00000000
8.69,8033.228,00000000
8.7,8168.581,00000000
