Timestamp(ms),Current(uA),D0-D7
4.61,5929.469,00000000
4.62,6196.278,00000000
4.63,5796.257,00000000
4.64,6107.285,00000000
4.65,6018.348,00000000
4.66,5973.901,00000000
4.67,6107.285,00000000
4.68,6374.437,00000000
4.69,6552.823,00000000
4.7,5751.881,00000000
4.71,5840.646,00000000
4.72,5885.050,00000000
4.73,5840.646,00000000
4.74,5707.520,00000000
4.75,6196.278,00000000
4.76,5840.646,00000000
4.77,6151.774,00000000
4.78,6151.774,00000000
4.79,6151.774,00000000
4.8,6107.285,00000000
4.81,5973.901,00000000
4.82,6240.796,00000000
4.83,5929.469,00000000
4.84,6018.348,00000000
4.85,5973.901,00000000
4.86,5929.469,00000000
4.87,5973.901,00000000
4.88,6062.809,00000000
4.89,5973.901,00000000
4.9,6018.348,00000000
4.91,6018.348,00000000
4.92,6018.348,00000000
4.93,6240.796,00000000
4.94,6062.809,00000000
4.95,6151.774,00000000
4.96,5929.469,00000000
4.97,5973.901,00000000
4.98,5885.050,00000000
4.99,6062.809,00000000
5,6107.285,00000000
5.01,6240.796,00000000
5.02,6018.348,00000000
5.03,6018.348,00000000
5.04,6018.348,00000000
5.05,5929.469,00000000
5.06,6018.348,00000000
5.07,5840.646,00000000
5.08,6018.348,00000000
5.09,5840.646,00000000
5.1,5840.646,00000000
5.11,5840.646,00000000
5.12,6018.348,00000000
5.13,5840.646,00000000
5.14,6107.285,00000000
5.15,6107.285,00000000
5.16,5885.050,00000000
5.17,5929.469,00000000
5.18,5840.646,00000000
5.19,6018.348,00000000
5.2,6062.809,00000000
5.21,6018.348,00000000
5.22,5840.646,00000000
5.23,6151.774,00000000
5.24,5929.469,00000000
5.25,5840.646,00000000
5.26,6018.348,00000000
5.27,6062.809,00000000
5.28,6062.809,00000000
5.29,5840.646,00000000
5.3,6151.774,00000000
5.31,5929.469,00000000
5.32,6062.809,00000000
5.33,5973.901,00000000
5.34,6018.348,00000000
5.35,6062.809,00000000
5.36,6062.809,00000000
5.37,6062.809,00000000
5.38,5973.901,00000000
5.39,6018.348,00000000
5.4,5929.469,00000000
5.41,6107.285,00000000
5.42,5973.901,00000000
5.43,6107.285,00000000
5.44,6018.348,00000000
5.45,5973.901,00000000
5.46,5973.901,00000000
5.47,6062.809,00000000
5.48,6018.348,00000000
5.49,5796.257,00000000
5.5,6151.774,00000000
5.51,6018.348,00000000
5.52,6062.809,00000000
5.53,5885.050,00000000
5.54,6018.348,00000000
5.55,6062.809,00000000
5.56,6151.774,00000000
5.57,5973.901,00000000
5.58,6151.774,00000000
5.59,6062.809,00000000
5.6,5796.257,00000000
5.61,6062.809,00000000
5.62,5840.646,00000000
5.63,5973.901,00000000
5.64,5929.469,00000000
5.65,6151.774,00000000
5.66,6018.348,00000000
5.67,6062.809,00000000
5.68,6196.278,00000000
5.69,6642.102,00000000
5.7,6285.329,00000000
5.71,5663.173,00000000
5.72,5707.520,00000000
5.73,5973.901,00000000
5.74,6062.809,00000000
5.75,5885.050,00000000
5.76,6062.809,00000000
5.77,5885.050,00000000
5.78,6240.796,00000000
5.79,5929.469,00000000
5.8,6151.774,00000000
5.81,6018.348,00000000
5.82,5973.901,00000000
5.83,5929.469,00000000
5.84,6062.809,00000000
5.85,6018.348,00000000
5.86,5840.646,00000000
5.87,6151.774,00000000
5.88,6062.809,00000000
5.89,6151.774,00000000
5.9,5840.646,00000000
5.91,6151.774,00000000
5.92,6151.774,00000000
5.93,6062.809,00000000
5.94,6018.348,00000000
5.95,5973.901,00000000
5.96,5973.901,00000000
5.97,5973.901,00000000
5.98,6062.809,00000000
5.99,5885.050,00000000
6,6062.809,00000000
6.01,5973.901,00000000
6.02,6018.348,00000000
6.03,6062.809,00000000
6.04,5973.901,00000000
6.05,6062.809,00000000
6.06,6062.809,00000000
6.07,6151.774,00000000
6.08,5929.469,00000000
6.09,6018.348,00000000
6.1,5885.050,00000000
6.11,6107.285,00000000
6.12,6107.285,00000000
6.13,6018.348,00000000
6.14,6018.348,00000000
6.15,6018.348,00000000
6.16,6151.774,00000000
6.17,6107.285,00000000
6.18,6018.348,00000000
6.19,6018.348,00000000
6.2,5929.469,00000000
6.21,5751.881,00000000
6.22,6062.809,00000000
6.23,6018.348,00000000
6.24,6107.285,00000000
6.25,6062.809,00000000
6.26,5973.901,00000000
6.27,6062.809,00000000
6.28,6062.809,00000000
6.29,6285.329,00000000
6.3,6062.809,00000000
6.31,6062.809,00000000
6.32,5929.469,00000000
6.33,6018.348,00000000
6.34,6062.809,00000000
6.35,6107.285,00000000
6.36,6062.809,00000000
6.37,6018.348,00000000
6.38,6107.285,00000000
6.39,5840.646,00000000
6.4,6018.348,00000000
6.41,6018.348,00000000
6.42,5929.469,00000000
6.43,6062.809,00000000
6.44,6285.329,00000000
6.45,5929.469,00000000
6.46,6062.809,00000000
6.47,6107.285,00000000
6.48,5840.646,00000000
6.49,6062.809,00000000
6.5,5751.881,00000000
6.51,6196.278,00000000
6.52,6062.809,00000000
6.53,6062.809,00000000
6.54,5973.901,00000000
6.55,5973.901,00000000
6.56,6151.774,00000000
6.57,6062.809,00000000
6.58,5840.646,00000000
6.59,5929.469,00000000
6.6,5929.469,00000000
6.61,5840.646,00000000
6.62,6107.285,00000000
6.63,5796.257,00000000
6.64,6018.348,00000000
6.65,5885.050,00000000
6.66,6018.348,00000000
6.67,5929.469,00000000
6.68,6329.875,00000000
6.69,6731.438,00000000
6.7,5618.841,00000000
6.71,5751.881,00000000
6.72,5663.173,00000000
6.73,5973.901,00000000
6.74,5751.881,00000000
6.75,6018.348,00000000
6.76,5973.901,00000000
6.77,6062.809,00000000
6.78,6018.348,00000000
6.79,6018.348,00000000
6.8,5973.901,00000000
6.81,6062.809,00000000
6.82,6062.809,00000000
6.83,6151.774,00000000
6.84,5973.901,00000000
6.85,6062.809,00000000
6.86,6018.348,00000000
6.87,5973.901,00000000
6.88,6062.809,00000000
6.89,6107.285,00000000
6.9,6196.278,00000000
6.91,5885.050,00000000
6.92,6107.285,00000000
6.93,6240.796,00000000
6.94,6062.809,00000000
6.95,5885.050,00000000
6.96,5885.050,00000000
6.97,6062.809,00000000
6.98,5929.469,00000000
6.99,5929.469,00000000
7,5973.901,00000000
7.01,6062.809,00000000
7.02,5929.469,00000000
7.03,5973.901,00000000
7.04,6018.348,00000000
7.05,6018.348,00000000
7.06,6018.348,00000000
7.07,5929.469,00000000
7.08,6018.348,00000000
7.09,5973.901,00000000
7.1,6151.774,00000000
7.11,5929.469,00000000
7.12,5840.646,00000000
7.13,6018.348,00000000
7.14,6018.348,00000000
7.15,6062.809,00000000
7.16,5929.469,00000000
7.17,5929.469,00000000
7.18,5973.901,00000000
7.19,6018.348,00000000
7.2,5929.469,00000000
7.21,6062.809,00000000
7.22,5885.050,00000000
7.23,6062.809,00000000
7.24,6062.809,00000000
7.25,6107.285,00000000
7.26,6018.348,00000000
7.27,5973.901,00000000
7.28,5973.901,00000000
7.29,5973.901,00000000
7.3,6062.809,00000000
7.31,5973.901,00000000
7.32,5929.469,00000000
7.33,5840.646,00000000
7.34,6062.809,00000000
7.35,6062.809,00000000
7.36,6018.348,00000000
7.37,6151.774,00000000
7.38,6018.348,00000000
7.39,6018.348,00000000
7.4,6018.348,00000000
7.41,6107.285,00000000
7.42,5929.469,00000000
7.43,6018.348,00000000
7.44,5929.469,00000000
7.45,5973.901,00000000
7.46,6062.809,00000000
7.47,6196.278,00000000
7.48,5973.901,00000000
7.49,5929.469,00000000
7.5,6062.809,00000000
7.51,5973.901,00000000
7.52,6062.809,00000000
7.53,5885.050,00000000
7.54,6018.348,00000000
7.55,6018.348,00000000
7.56,6151.774,00000000
7.57,5973.901,00000000
7.58,6107.285,00000000
7.59,6018.348,00000000
7.6,6062.809,00000000
7.61,6062.809,00000000
7.62,5929.469,00000000
7.63,5929.469,00000000
7.64,5840.646,00000000
7.65,6240.796,00000000
7.66,5929.469,00000000
7.67,6018.348,00000000
7.68,6196.278,00000000
7.69,6686.763,00000000
7.7,6062.809,00000000
7.71,5663.173,00000000
7.72,5885.050,00000000
7.73,5885.050,00000000
7.74,6062.809,00000000
7.75,5885.050,00000000
7.76,5973.901,00000000
7.77,5840.646,00000000
7.78,6240.796,00000000
7.79,5840.646,00000000
7.8,5929.469,00000000
7.81,5929.469,00000000
7.82,6107.285,00000000
7.83,6151.774,00000000
7.84,6151.774,00000000
7.85,6062.809,00000000
7.86,5929.469,00000000
7.87,6196.278,00000000
7.88,5840.646,00000000
7.89,5929.469,00000000
7.9,5751.881,00000000
7.91,6196.278,00000000
7.92,5973.901,00000000
7.93,5973.901,00000000
7.94,6107.285,00000000
7.95,6018.348,00000000
7.96,6062.809,00000000
7.97,6018.348,00000000
7.98,5885.050,00000000
7.99,5840.646,00000000
8,6062.809,00000000
8.01,5840.646,00000000
8.02,6062.809,00000000
8.03,5840.646,00000000
8.04,6151.774,00000000
8.05,5885.050,00000000
8.06,5885.050,00000000
8.07,5929.469,00000000
8.08,5885.050,00000000
8.09,6107.285,00000000
8.1,5840.646,00000000
8.11,5973.901,00000000
8.12,5840.646,00000000
8.13,5929.469,00000000
8.14,5973.901,00000000
8.15,6018.348,00000000
8.16,5973.901,00000000
8.17,5973.901,00000000
8.18,5929.469,00000000
8.19,5885.050,00000000
8.2,6018.348,00000000
8.21,5796.257,00000000
8.22,6018.348,00000000
8.23,5929.469,00000000
8.24,5973.901,00000000
8.25,6062.809,00000000
8.26,6062.809,00000000
8.27,5929.469,00000000
8.28,5840.646,00000000
8.29,5973.901,00000000
8.3,5840.646,00000000
8.31,5973.901,00000000
8.32,5663.173,00000000
8.33,6151.774,00000000
8.34,5929.469,00000000
8.35,6240.796,00000000
8.36,6018.348,00000000
8.37,6107.285,00000000
8.38,5973.901,00000000
8.39,6018.348,00000000
8.4,5929.469,00000000
8.41,6062.809,00000000
8.42,6018.348,00000000
8.43,5885.050,00000000
8.44,6107.285,00000000
8.45,5885.050,00000000
8.46,5973.901,00000000
8.47,5929.469,00000000
8.48,6151.774,00000000
8.49,6062.809,00000000
8.5,5973.901,00000000
8.51,6151.774,00000000
8.52,5840.646,00000000
8.53,6107.285,00000000
8.54,5885.050,00000000
8.55,6240.796,00000000
8.56,5840.646,00000000
8.57,6018.348,00000000
8.58,5929.469,00000000
8.59,6062.809,00000000
8.6,6062.809,00000000
8.61,5973.901,00000000
8.62,6018.348,00000000
8.63,5929.469,00000000
8.64,6151.774,00000000
8.65,5973.901,00000000
8.66,6062.809,00000000
8.67,5840.646,00000000
8.68,6196.278,00000000
8.69,6552.823,00000000
8.7,5707.520,00000000
8.71,5618.841,00000000
8.72,5885.050,00000000
8.73,5929.469,00000000
8.74,6062.809,00000000
8.75,5929.469,00000000
8.76,6018.348,00000000
8.77,5973.901,00000000
8.78,5885.050,00000000
8.79,6018.348,00000000
8.8,6018.348,00000000
8.81,5840.646,00000000
8.82,5929.469,00000000
8.83,6062.809,00000000
8.84,6018.348,00000000
8.85,5973.901,00000000
8.86,5973.901,00000000
8.87,5929.469,00000000
8.88,6018.348,00000000
8.89,5973.901,00000000
8.9,6018.348,00000000
8.91,5885.050,00000000
8.92,6018.348,00000000
8.93,5929.469,00000000
8.94,6062.809,00000000
8.95,5929.469,00000000
8.96,6018.348,00000000
8.97,6107.285,00000000
8.98,6107.285,00000000
8.99,6018.348,00000000
9,6062.809,00000000
9.01,6062.809,00000000
9.02,5840.646,00000000
9.03,6062.809,00000000
9.04,6062.809,00000000
9.05,5929.469,00000000
9.06,5929.469,00000000
9.07,5840.646,00000000
9.08,6018.348,00000000
9.09,6062.809,00000000
9.1,5840.646,00000000
9.11,5885.050,00000000
9.12,6062.809,00000000
9.13,5929.469,00000000
9.14,5973.901,00000000
9.15,6018.348,00000000
9.16,6062.809,00000000
9.17,6107.285,00000000
9.18,6018.348,00000000
9.19,5973.901,00000000
